canonical_identity_key,row_count,candidate_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,recommended_survivor_formula_key,survivor_source_hint,customer_formula_name,survivor_decision,source_priorities,formula_keys
royal canin|maxi ageing 8 plus|dog|dry,4,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo,Royal Canin Maxi Ageing 8+ 15kg,royal-canin-maxi-ageing-8-dog-dry-gr-official,official,Royal Canin Maxi Ageing 8+,Prefer official row over current retailer best row; keep the rest as evidence/backfill.,retailer|official|unknown,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo|royal-canin-maxi-ageing-8-dog-dry-gr-official|royal-canin-royal-canin-maxi-ageing-8-dog-dry-gr-spreadsheet
royal canin|bulldog puppy|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-bulldog-puppy-dog-dry-gr-official,Royal Canin Bulldog Puppy,royal-canin-bulldog-puppy-dog-dry-gr-official,official,Royal Canin Bulldog Puppy,Keep current best row as canonical survivor (official).,official|retailer|manual_photo,royal-canin-bulldog-puppy-dog-dry-gr-official|royal-canin-bulldog-puppy-dog-dry-gr-gatoskilo|royal-canin-bulldog-puppy-dog-dry-gr-photo
royal canin|chihuahua adult|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-chihuahua-adult-dog-dry-gr-official,Royal Canin Chihuahua Adult,royal-canin-chihuahua-adult-dog-dry-gr-official,official,Royal Canin Chihuahua Adult,Keep current best row as canonical survivor (official).,official|retailer|manual_photo,royal-canin-chihuahua-adult-dog-dry-gr-official|royal-canin-chihuahua-adult-dog-dry-gr-gatoskilo|royal-canin-chihuahua-adult-dog-dry-gr-photo
royal canin|chihuahua puppy|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-chihuahua-puppy-dog-dry-gr-official,Royal Canin Chihuahua Puppy,royal-canin-chihuahua-puppy-dog-dry-gr-official,official,Royal Canin Chihuahua Puppy,Keep current best row as canonical survivor (official).,official|retailer|manual_photo,royal-canin-chihuahua-puppy-dog-dry-gr-official|royal-canin-chihuahua-puppy-dog-dry-gr-gatoskilo|royal-canin-chihuahua-puppy-dog-dry-gr-photo
royal canin|french bulldog adult|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-french-bulldog-adult-dog-dry-gr-official,Royal Canin French Bulldog Adult,royal-canin-french-bulldog-adult-dog-dry-gr-official,official,Royal Canin French Bulldog Adult,Keep current best row as canonical survivor (official).,official|retailer|manual_photo,royal-canin-french-bulldog-adult-dog-dry-gr-official|royal-canin-french-bulldog-adult-dog-dry-gr-gatoskilo|royal-canin-french-bulldog-adult-dog-dry-gr-photo
royal canin|giant adult|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-giant-adult-dog-dry-gr-gatoskilo,Royal Canin Giant Adult 4kg,royal-canin-giant-adult-dog-dry-gr-official,official,Royal Canin Giant Adult,Prefer official row over current retailer best row; keep the rest as evidence/backfill.,retailer|official|manual_photo,royal-canin-giant-adult-dog-dry-gr-gatoskilo|royal-canin-giant-adult-dog-dry-gr-official|royal-canin-giant-adult-dog-dry-gr-photo
royal canin|junior giant|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-junior-giant-dog-dry-gr-official,Royal Canin JUNIOR - GIANT,royal-canin-junior-giant-dog-dry-gr-official,official,Royal Canin Junior Giant,Keep current best row as canonical survivor (official).,official|unknown,royal-canin-junior-giant-dog-dry-gr-official|royal-canin-royal-canin-junior-giant-dog-dry-gr-spreadsheet
royal canin|maxi adult|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-maxi-adult-dog-dry-gr-gatoskilo,Royal Canin Maxi Adult 3kg,royal-canin-maxi-adult-dog-dry-gr-official,official,Royal Canin Maxi Adult,Prefer official row over current retailer best row; keep the rest as evidence/backfill.,retailer|official|manual_photo,royal-canin-maxi-adult-dog-dry-gr-gatoskilo|royal-canin-maxi-adult-dog-dry-gr-official|royal-canin-maxi-adult-dog-dry-gr-photo
royal canin|medium adult|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-medium-adult-dog-dry-gr-gatoskilo,Royal Canin Medium Adult 3kg,royal-canin-medium-adult-dog-dry-gr-official,official,Royal Canin Medium Adult,Prefer official row over current retailer best row; keep the rest as evidence/backfill.,retailer|official|manual_photo,royal-canin-medium-adult-dog-dry-gr-gatoskilo|royal-canin-medium-adult-dog-dry-gr-official|royal-canin-medium-adult-dog-dry-gr-photo
royal canin|shih tzu adult|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-shih-tzu-adult-dog-dry-gr-official,Royal Canin Shih Tzu Adult,royal-canin-shih-tzu-adult-dog-dry-gr-official,official,Royal Canin Shih Tzu Adult,Keep current best row as canonical survivor (official).,official|retailer|manual_photo,royal-canin-shih-tzu-adult-dog-dry-gr-official|royal-canin-shih-tzu-adult-dog-dry-gr-gatoskilo|royal-canin-shih-tzu-adult-dog-dry-gr-photo
